"Date","S191_AMMONIA_N_Ld_mg","S191_S_FLOW_cfd"
"1989-10-24",83672883.681408,232424.6768928
"1989-10-25",124041380.194368,413471.26731456
"1989-10-27",103979460.7152,415917.8428608
"1989-10-29",8220493.8353664,29358.90655488
"1989-10-31",78094691.4359808,205512.34588416
"1989-11-01",28967454.4674816,181046.59042176
"1989-11-03",48442195.815552,220191.7991616
"1989-12-23",42717209.0373504,474635.65597056
"1989-12-24",22263837.470784,222638.37470784
"1989-12-25",19866193.4354688,283802.76336384
"1989-12-26",40295099.2465728,447723.32496192
"1989-12-29",13358302.4824704,222638.37470784
"1989-12-31",20795892.14304,207958.9214304
"1990-02-26",293589.0655488,4893.15109248
"1990-07-16",85728007.1402496,1071600.08925312
"1990-07-18",39389866.294464,393898.66294464
"1990-07-23",28306879.0699968,217745.22361536
"1990-07-30",26618741.9430912,166367.13714432
"1990-08-01",3669863.31936,183493.165968
"1990-08-06",28771728.4237824,359646.60529728
"1990-08-13",134855244.108749,1037348.03160576
"1990-08-15",300781997.654746,1671011.09808192
"1990-08-20",90425432.1890304,430597.29613824
"1990-08-27",164605602.751027,567605.52672768
"1990-08-29",1858712373.98945,7148893.74611328
"1990-09-04",574847390.34455,2395197.45976896
"1990-09-24",176740617.460378,841621.98790656
"1990-09-25",165315109.659437,570052.10227392
"1990-10-01",834526918.822464,5563512.79214976
"1990-10-09",191469002.248742,890553.49883136
"1990-10-16",206026126.74887,981076.79404224
"1990-10-22",69360416.735904,256890.4323552
"1990-10-24",76602280.3527744,247104.13017024
"1990-10-31",53457675.685344,232424.6768928
"1990-11-19",4501699.0050816,225084.95025408
"1991-01-15",13688590.1812128,273771.803624256
"1991-01-17",84631941.2955344,1057899.26619418
"1991-01-28",24793596.5855962,275484.406506624
"1991-02-26",9101261.0320128,151687.68386688
"1991-03-04",15729034.186777,524301.139559232
"1991-03-12",20225840.0407661,288940.572010944
"1991-03-18",8815011.69310272,293833.723103424
"1991-03-25",28746039.3805469,273771.803624256
